PREPAREDNESS SKILLS DATABASE,,,,,,
Skill Name,Description,Difficulty Level,Tools Required,Training Resources,Practice Frequency,Real-World Scenarios Where Skill Is Needed
Tactical Combat Casualty Care (TCCC),"Stopping massive hemorrhage using tourniquets, hemostatic gauze, and pressure dressings.",Intermediate,"IFAK, CAT Tourniquet, QuikClot.","""Stop the Bleed"" local classes, Deployed Medicine App.",Quarterly (Blindfold/Dark Room Drill),"Severe trauma, car accidents, civil unrest injuries, active shooter."
Austere Water Purification,"Sourcing, filtering, and chemically treating contaminated water to make it potable.",Beginner,"Gravity filter, bleach, boiling vessels.","Army FM 3-05.70, CDC Water guidelines.",Bi-annually (72-Hour Shutoff Drill),"Floods, municipal water contamination, grid failures."
Off-Grid Sanitation Management,Safely managing human waste and organic garbage to prevent disease outbreaks (cholera/dysentery).,Beginner,"Contractor bags, buckets, sawdust, shovels.","Homesteading guides, FEMA manuals.",Annually,"Grid-down scenarios, prolonged sheltering in place."
Deep Pantry Management (FIFO),"Managing a rolling inventory of 90+ days of food, preventing expiration waste and appetite fatigue.",Beginner,"Shelving, inventory ledger, markers.",Preparedness handbooks.,Weekly (during grocery runs),"Supply chain disruptions, hyperinflation, pandemics."
OODA Loop & Stress Regulation,"Controlling the physiological panic response using Observe, Orient, Decide, Act methodologies.",Intermediate,None (Mental framing).,"Military psychology texts, stoic philosophy.",Monthly (Mental mapping drills),"Sudden emergencies, physical threats, sudden loss of infrastructure."
Open Source Intelligence (OSINT),"Gathering and verifying real-time, local information via emergency radios and verified digital sources.",Intermediate,"NOAA Radio, Scanners, Internet.","DIA OSINT guides, CERT training.",Monthly,"Approaching severe weather, riots, breaking disaster events."
Mesh Networking (Comms),"Setting up encrypted, off-grid text messaging networks using LoRa devices (Meshtastic).",Advanced,"Meshtastic nodes, smartphones, batteries.","Meshtastic open-source docs, Ham radio clubs.",Quarterly (Range testing),"Total cellular network outages, EMPs, government internet blackouts."
Primitive Firecraft,Starting and maintaining a fire for thermal regulation and cooking without modern lighters/matches.,Intermediate,"Ferro rod, tinder, carbon steel knife.","Bushcraft 101, Wilderness Medical Society.",Bi-annually,"Wilderness survival, winter blackouts, total grid collapse."
Crime Prevention Thru Env. Design (CPTED),Evaluating and modifying the physical home environment to naturally deter crime and intrusions.,Intermediate,"Longer screws, motion lights, landscaping tools.",National Institute of Crime Prevention (NICP) guides.,Annually (2 AM Walkthrough Drill),"Rising crime rates, societal breakdown, martial law."
Evacuation Navigation (Analog),Reading topographical maps and using a compass to navigate without GPS assistance.,Intermediate,"Compass, physical maps.","Orienteering clubs, Army field manuals.",Annually (Route driving/walking),"Forced evacuations, blocked primary routes, EMP scenarios."
Neighborhood Triage & Charity,"Assessing community needs, establishing a ""Neutral Zone,"" and distributing aid safely without being overrun.",Advanced,"Surplus supplies, FRS radios, CERT.","CERT Leadership manuals, VOAD protocols.",Annually (Tabletop exercises),"Post-disaster recovery, long-term systemic failures."
Off-Grid Thermal Retention,"Creating a designated ""warm room"" using insulation and indoor-safe heaters to prevent hypothermia.",Beginner,"Plastic sheeting, duct tape, Buddy heater.",Winter survival guides.,Annually (Pre-winter check),"Extreme winter storms, prolonged gas/electric outages."
